mysql: [Warning] Using a password on the command line interface can be insecure.
id	kode	nama_produk	qty_stok_salah
12945	GPL	GULA PASIR LOKAL 1 KG	129
12868	089686010947	INDOMIE GORENG 85 GR	114
5037	8998866200301	SEDAAP MIE GORENG 91GR	63
5793	8994867000001	PENAMAS GOLD 12'S	62
13701	9556252210304	BUMBU ADABI NASI GORENG 30GR	58
5100	089686043419	INDOMIE SOTO LAMONGAN 90GR	45
282	CMM	KONSINYASI CAMILAN MICKEY MOUSE	42
13171	8997217040702	LEZZA SANTAN KELAPA 65ML	40
6024	8998898101409	TOLAK ANGIN CAIR 15 ML	40
5371	8991002103238	GOOD DAY MOCACINIO 20 GR X 10	39
5698	8998989100120	GG INTER FILTER 12	32
14679	8997218380005	ICHITAN SIGNATURE CHOCO 300ML	32
13482	8996001603437	ENERGEN CHAMPION 10X35GR	31
280	KUR	KONSINYASI KRIPIK USUS RAHMAH	29
8046	8999999706180	PEPSODENT PGB 190 GR MERAH	27
14073	8993560033583	VANISH WHITE SACHET 60ML	24
11482	8998866805353	SO KLIN LIQUID MERAH 800ML	23
11015	8992745999997	HIT MAT GREEN TEA 48+6S	23
5123	8998866201346	MIE SEDAAP WHITE CURRY 81GR	23
5040	8998866200578	SEDAAP MIE KARI SPC 75 GR	22
13426	CSD	KONSINYASI KRIPIK PISANG SI DOEL 250GR	21
751	8992696521797	MILO ACTIVGO 22G X 10	21
7259	8999999036690	LUX MAGICAL SPELL 85G	21
11732	8992772193054	KISPRAY AMORIS 4'S	20
12878	8998866203227	MIE SEDAAP AYM BAKAR LIMAU 89GR	19
693	8992696409057	MILO 3 IN 1 ACTIGEN 35 GR X 10	19
6025	8992003782354	ANTANGIN JRG CAIR 15 ML	19
3793	KIJ	KONSINYASI INDO JAMUR CRISPY 200GR	18
5375	8994171101289	LUWAK WHITE KOFFIE ORIGINAL 20GR	18
255	SMD	KONSINYASI CAMILAN SAMUDRA	17
11481	8998866609180	SO KLIN LIQUID SOFTERGENT 800ML PINK	17
11744	8998866670722	WINGS BIRU500 260 GR	17
14278	8997221811350	RUMPANG MINI ORIGINAL 1,5GR	17
5052	089686010343	INDOMIE SOTO MIE 70 GR	16
11818	8998866100700	MAMA LEMON EC FRESH LEMON 680ML	15
6758	8999999036638	LUX VELVET TOUCH 85GR	15
4147	8993111115003	GARAM CAP KAPAL 500G	15
11657	8992772198059	KISPRAY FINE PERFUME GLAMOROUS GOLD 300ML	15
14074	8993560033477	VANISH PINK SACHET 60ML	15
6065	8992003786840	ANTANGIN HABATUSSAUDA 15ML	15
11389	8998866605816	SOKLIN SMART COLOR 900 GR	14
5038	8998866200325	SEDAAP MIE SOTO 75 GR	14
6037	8992003783399	ANTANGIN GINGER MINT 15 GR	14
2890	8992994110112	YAKULT 5'S	13
14021	KGDP	KONSINYASI KRIPIK GETUK DUA PUTRA	13
13459	8998777144800	IMBOOST EFFERVESCENT VIT C 2'S	13
11431	8998866805414	SOKLIN SMART SOFTENER 800GR	12
12874	089686043204	INDOMIE MI GORENG ACEH 90GR	11
11485	8998866803649	SOKLIN LIQUID VIOLET 800ML	11
4155	BPL10	BERAS PELIKAN 10KG	11
2143	8992696404441	BEAR BRAND 189 ML	11
13956	8997018250126	AMH ETAWA SUSU KAMBING RS JAHE 10*25GR	11
1706	8992775315057	GERY SALUUT MALKIST CHOCOLATE 110G	10
11819	8998866105156	MAMA LEMON JERUK NIPIS 680ML	10
3488	8993027121600	KONSINYASI HAPPYTOS HIJAU 160 GR	10
11768	8998866600095	EKONOMI LEMON 260 GR	10
2742	8998866610377	ISOPLUS 350ML	10
579	9415007040699	BONEETO COKLAT 35GX5	10
581	9415007040019	ANLENE AKTIF COKLAT 25GX5	10
8044	8999999707781	PEPSODENT WHITENING 190 GR	10
5097	8998866200929	SEDAAP BASO SPC 77GR	10
11731	8992772193078	KISPRAY VIOLET 4 S @24ML	9
6715	8993379254469	LERVIA MILK SOAP 90 GR	9
6847	8993379121211	MEDICARE CLASSIC 90gr	9
